name,patterns,N,k,max_abs_nonzero,empirical_k_nc,argmax_m,argmax_symbolic
K4_1_01_10,1 01 10,4096,8,0.48005577248829945,No,1,(1/4096) * (1285 + 643*zeta^1 + 322*zeta^2 + 160*zeta^3 + 80*zeta^4 + 40*zeta^5 + 1044*zeta^6 + 522*zeta^7)
K4_1_01_001_101,1 01 001 101,4096,2,0.34375,No,64,(1/4096) * (1344 + 2752*zeta^1)
K4_1_01_001_101,1 01 001 101,4096,3,0.34061589710076284,No,1,(1/4096) * (1901 + 439*zeta^1 + 1756*zeta^2)
K4_1_01_001_101,1 01 001 101,4096,4,0.007084286195579571,No,43,(1/4096) * (1066 + 997*zeta^1 + 1065*zeta^2 + 968*zeta^3)
K4_1_01_001_101,1 01 001 101,4096,5,0.14090745429710153,No,1,(1/4096) * (595 + 298*zeta^1 + 1684*zeta^2 + 330*zeta^3 + 1189*zeta^4)
K4_1_01_001_101,1 01 001 101,4096,6,0.14715990070991858,No,16,(1/4096) * (600 + 816*zeta^1 + 400*zeta^2 + 712*zeta^3 + 360*zeta^4 + 1208*zeta^5)
K4_1_01_001_101,1 01 001 101,4096,7,0.24715681016309685,No,8,(1/4096) * (588 + 808*zeta^1 + 400*zeta^2 + 200*zeta^3 + 612*zeta^4 + 308*zeta^5 + 1180*zeta^6)
K4_1_01_001_101,1 01 001 101,4096,8,0.3400996539434486,No,4,(1/4096) * (582 + 804*zeta^1 + 400*zeta^2 + 200*zeta^3 + 100*zeta^4 + 562*zeta^5 + 282*zeta^6 + 1166*zeta^7)
K4_1_01_010_110,1 01 010 110,4096,2,0.34375,No,64,(1/4096) * (1344 + 2752*zeta^1)
K4_1_01_010_110,1 01 010 110,4096,3,0.18925906595261852,No,1,(1/4096) * (1463 + 1756*zeta^1 + 877*zeta^2)
K4_1_01_010_110,1 01 010 110,4096,4,0.005132762705475766,No,51,(1/4096) * (884 + 1154*zeta^1 + 905*zeta^2 + 1153*zeta^3)
K4_1_01_010_110,1 01 010 110,4096,5,0.15964842784448266,No,1,(1/4096) * (1322 + 660*zeta^1 + 330*zeta^2 + 1189*zeta^3 + 595*zeta^4)
K4_1_01_010_110,1 01 010 110,4096,6,0.2883933286228567,No,1,(1/4096) * (1300 + 650*zeta^1 + 325*zeta^2 + 163*zeta^3 + 1106*zeta^4 + 552*zeta^5)
K4_1_01_010_110,1 01 010 110,4096,7,0.3936448751890142,No,1,(1/4096) * (1290 + 645*zeta^1 + 323*zeta^2 + 162*zeta^3 + 80*zeta^4 + 1064*zeta^5 + 532*zeta^6)
K4_1_01_010_110,1 01 010 110,4096,8,0.48005577248829945,No,1,(1/4096) * (1285 + 643*zeta^1 + 322*zeta^2 + 160*zeta^3 + 80*zeta^4 + 40*zeta^5 + 1044*zeta^6 + 522*zeta^7)
K4_1_10_001_101,1 10 001 101,4096,2,0.34375,No,64,(1/4096) * (1344 + 2752*zeta^1)
K4_1_10_001_101,1 10 001 101,4096,3,0.18925906595261852,No,1,(1/4096) * (1463 + 1756*zeta^1 + 877*zeta^2)
K4_1_10_001_101,1 10 001 101,4096,4,0.005132762705475766,No,51,(1/4096) * (884 + 1154*zeta^1 + 905*zeta^2 + 1153*zeta^3)
K4_1_10_001_101,1 10 001 101,4096,5,0.15964842784448266,No,1,(1/4096) * (1322 + 660*zeta^1 + 330*zeta^2 + 1189*zeta^3 + 595*zeta^4)
K4_1_10_001_101,1 10 001 101,4096,6,0.2883933286228567,No,1,(1/4096) * (1300 + 650*zeta^1 + 325*zeta^2 + 163*zeta^3 + 1106*zeta^4 + 552*zeta^5)
K4_1_10_001_101,1 10 001 101,4096,7,0.3936448751890142,No,1,(1/4096) * (1290 + 645*zeta^1 + 323*zeta^2 + 162*zeta^3 + 80*zeta^4 + 1064*zeta^5 + 532*zeta^6)
K4_1_10_001_101,1 10 001 101,4096,8,0.48005577248829945,No,1,(1/4096) * (1285 + 643*zeta^1 + 322*zeta^2 + 160*zeta^3 + 80*zeta^4 + 40*zeta^5 + 1044*zeta^6 + 522*zeta^7)
K4_1_10_010_110,1 10 010 110,4096,2,0.34375,No,64,(1/4096) * (1344 + 2752*zeta^1)
K4_1_10_010_110,1 10 010 110,4096,3,0.2497384371978162,No,1,(1/4096) * (732 + 1901*zeta^1 + 1463*zeta^2)
K4_1_10_010_110,1 10 010 110,4096,4,0.007084286195579519,No,43,(1/4096) * (1065 + 968*zeta^1 + 1066*zeta^2 + 997*zeta^3)
K4_1_10_010_110,1 10 010 110,4096,5,0.21971855678224897,No,1,(1/4096) * (660 + 1354*zeta^1 + 165*zeta^2 + 595*zeta^3 + 1322*zeta^4)
K4_1_10_010_110,1 10 010 110,4096,6,0.38158836045917466,No,1,(1/4096) * (650 + 1349*zeta^1 + 163*zeta^2 + 82*zeta^3 + 552*zeta^4 + 1300*zeta^5)
K4_1_10_010_110,1 10 010 110,4096,7,0.5001236186280099,No,1,(1/4096) * (645 + 1347*zeta^1 + 162*zeta^2 + 80*zeta^3 + 40*zeta^4 + 532*zeta^5 + 1290*zeta^6)
K4_1_10_010_110,1 10 010 110,4096,8,0.5880379961371439,No,1,(1/4096) * (643 + 1346*zeta^1 + 160*zeta^2 + 80*zeta^3 + 40*zeta^4 + 20*zeta^5 + 522*zeta^6 + 1285*zeta^7)
K4_1_11_011_111,1 11 011 111,4096,2,0.34375,No,64,(1/4096) * (1344 + 2752*zeta^1)
K4_1_11_011_111,1 11 011 111,4096,3,0.25036630021367556,No,1,(1/4096) * (2049 + 1023*zeta^1 + 1024*zeta^2)
K4_1_11_011_111,1 11 011 111,4096,4,0.007084286195579516,No,43,(1/4096) * (1066 + 968*zeta^1 + 1065*zeta^2 + 997*zeta^3)
K4_1_11_011_111,1 11 011 111,4096,5,0.18724547305034847,No,1,(1/4096) * (562 + 396*zeta^1 + 1123*zeta^2 + 793*zeta^3 + 1222*zeta^4)
K4_1_11_011_111,1 11 011 111,4096,6,0.30040618499021826,No,1,(1/4096) * (683 + 341*zeta^1 + 1366*zeta^3 + 682*zeta^4 + 1024*zeta^5)
K4_1_11_011_111,1 11 011 111,4096,7,0.37648731996254636,No,1,(1/4096) * (580 + 274*zeta^1 + 73*zeta^2 + 290*zeta^3 + 1161*zeta^4 + 549*zeta^5 + 1169*zeta^6)
K4_1_11_011_111,1 11 011 111,4096,8,0.43145372652474234,No,1,(1/4096) * (522 + 322*zeta^1 + 40*zeta^2 + 261*zeta^3 + 160*zeta^4 + 1044*zeta^5 + 643*zeta^6 + 1104*zeta^7)
K4_001_010_100_111,001 010 100 111,4096,2,0.66650390625,No,1,(1/4096) * (683 + 3413*zeta^1)
K4_001_010_100_111,001 010 100 111,4096,3,0.36924774391864273,No,1,(1/4096) * (365 + 1975*zeta^1 + 1756*zeta^2)
K4_001_010_100_111,001 010 100 111,4096,4,0.005869538711021096,No,51,(1/4096) * (1077 + 971*zeta^1 + 1060*zeta^2 + 988*zeta^3)
K4_001_010_100_111,001 010 100 111,4096,5,0.26207498474847823,No,1,(1/4096) * (330 + 1701*zeta^1 + 83*zeta^2 + 298*zeta^3 + 1684*zeta^4)
K4_001_010_100_111,001 010 100 111,4096,6,0.439078412836672,No,1,(1/4096) * (325 + 1699*zeta^1 + 82*zeta^2 + 40*zeta^3 + 276*zeta^4 + 1674*zeta^5)
K4_001_010_100_111,001 010 100 111,4096,7,0.5605819375273638,No,1,(1/4096) * (323 + 1698*zeta^1 + 80*zeta^2 + 40*zeta^3 + 20*zeta^4 + 266*zeta^5 + 1669*zeta^6)
K4_001_010_100_111,001 010 100 111,4096,8,0.6465600215332589,No,1,(1/4096) * (322 + 1696*zeta^1 + 80*zeta^2 + 40*zeta^3 + 20*zeta^4 + 10*zeta^5 + 261*zeta^6 + 1667*zeta^7)
K4_001_011_100_110,001 011 100 110,4096,2,1.0,No,2,(1/4096) * (4096*zeta^1)
K4_001_011_100_110,001 011 100 110,4096,3,0.31286628237934466,No,2,(1/4096) * (511 + 1792*zeta^1 + 1793*zeta^2)
K4_001_011_100_110,001 011 100 110,4096,4,0.005371093749999954,No,55,(1/4096) * (1035 + 1024*zeta^1 + 1013*zeta^2 + 1024*zeta^3)
K4_001_011_100_110,001 011 100 110,4096,5,0.2026959539308926,No,1,(1/4096) * (1025 + 1024*zeta^1 + 511*zeta^2 + 512*zeta^3 + 1024*zeta^4)
